seq	pos	mod	bio	strand	depth	gene	sample_group	seq_tech	lap_type
1	50508	Y	CDS	-	446.5	AT1G01100	Col0_ABA	GMUCT	CDS
1	1142844	m1G	CDS	-	557	AT1G04270	Col0_ABA	GMUCT	CDS
1	1828858	m1G	CDS	-	157.5	AT1G06040	Col0_ABA	GMUCT	CDS
1	5401181	D	CDS	+	174	AT1G15690	Col0_ABA	GMUCT	CDS
1	5765190	m1G	CDS	-	151	AT1G16850	Col0_ABA	GMUCT	CDS
1	7145758	m3C	CDS	+	3402.5	AT1G20620	Col0_ABA	GMUCT	CDS
1	7145759	Y	CDS	+	3217	AT1G20620	Col0_ABA	GMUCT	CDS
1	7145760	i6A|t6A	CDS	+	2569.5	AT1G20620	Col0_ABA	GMUCT	CDS
1	9404166	Y	CDS	-	546.5	AT1G27090	Col0_ABA	GMUCT	CDS
1	9404168	Y	CDS	-	725.5	AT1G27090	Col0_ABA	GMUCT	CDS
1	19128708	D	CDS	-	155.5	AT1G51590	Col0_ABA	GMUCT	CDS
1	23790582	Y	CDS	+	70	AT1G64090	Col0_ABA	GMUCT	CDS
1	23955125	Y	CDS	-	144	AT1G64510	Col0_ABA	GMUCT	CDS
1	24648354	m1G	CDS	+	459	AT1G66180	Col0_ABA	GMUCT	CDS
1	24686778	m1A|m1I|ms2i6A	CDS	-	1001	AT1G66240	Col0_ABA	GMUCT	CDS
1	25734512	D	CDS	-	931.5	AT1G68560	Col0_ABA	GMUCT	CDS
1	26564865	m1G	CDS	-	292.5	AT1G70490	Col0_ABA	GMUCT	CDS
1	26564867	m3C	CDS	-	667	AT1G70490	Col0_ABA	GMUCT	CDS
1	26564868	m1A|m1I|ms2i6A	CDS	-	781	AT1G70490	Col0_ABA	GMUCT	CDS
1	27835333	Y	CDS	-	63	AT1G74020	Col0_ABA	GMUCT	CDS
2	528840	D	CDS	+	745.5	AT2G02100	Col0_ABA	GMUCT	CDS
2	1967588	D	CDS	+	22770	AT2G05380	Col0_ABA	GMUCT	CDS
2	1967589	m1G	CDS	+	19936	AT2G05380	Col0_ABA	GMUCT	CDS
2	1967590	m1G	CDS	+	19184	AT2G05380	Col0_ABA	GMUCT	CDS
2	1967591	D	CDS	+	17240.5	AT2G05380	Col0_ABA	GMUCT	CDS
2	5539678	D	CDS	-	563.5	AT2G13360	Col0_ABA	GMUCT	CDS
2	7837892	Y	CDS	+	712.5	AT2G18020	Col0_ABA	GMUCT	CDS
2	7837893	m1G	CDS	+	622	AT2G18020	Col0_ABA	GMUCT	CDS
2	7837895	i6A|t6A	CDS	+	576.5	AT2G18020	Col0_ABA	GMUCT	CDS
2	7898404	D	CDS	-	399.5	AT2G18160	Col0_ABA	GMUCT	CDS
2	9037558	D	CDS	-	734.5	AT2G21060	Col0_ABA	GMUCT	CDS
2	9637474	D	CDS	+	73.5	AT2G22670	Col0_ABA	GMUCT	CDS
2	10559868	m1G	CDS	+	524	AT2G24762	Col0_ABA	GMUCT	CDS
2	10559870	m1G	CDS	+	450	AT2G24762	Col0_ABA	GMUCT	CDS
2	11079478	Y	CDS	-	97	AT2G25980	Col0_ABA	GMUCT	CDS
2	13499547	m1G	CDS	+	307.5	AT2G31750	Col0_ABA	GMUCT	CDS
2	13499549	m1G	CDS	+	302.5	AT2G31750	Col0_ABA	GMUCT	CDS
2	13864005	Y	CDS	-	707.5	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864008	m3C	CDS	-	1086	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864032	m1G	CDS	-	1513	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864034	m1G	CDS	-	1655.5	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864035	i6A|t6A	CDS	-	1662	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864071	i6A|t6A	CDS	-	2266.5	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864072	m1G	CDS	-	2469	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864073	m1G	CDS	-	2865	AT2G32690	Col0_ABA	GMUCT	CDS
2	13864074	m3C	CDS	-	3119.5	AT2G32690	Col0_ABA	GMUCT	CDS
2	15170505	m3C	CDS	+	810	AT2G36160	Col0_ABA	GMUCT	CDS
2	15170506	m1A|m1I|ms2i6A	CDS	+	800	AT2G36160	Col0_ABA	GMUCT	CDS
2	15170507	m3C	CDS	+	745	AT2G36160	Col0_ABA	GMUCT	CDS
2	15635367	m1A|m1I|ms2i6A	CDS	-	347	AT2G37220	Col0_ABA	GMUCT	CDS
2	19458604	Y	CDS	+	148	AT2G47420	Col0_ABA	GMUCT	CDS
2	19611819	D	CDS	-	156.5	AT2G47900	Col0_ABA	GMUCT	CDS
2	19611820	m3C	CDS	-	158.5	AT2G47900	Col0_ABA	GMUCT	CDS
2	19611821	D	CDS	-	376.5	AT2G47900	Col0_ABA	GMUCT	CDS
3	511136	m1A|m1I|ms2i6A	CDS	+	1928	AT3G02470	Col0_ABA	GMUCT	CDS
3	511137	m1G	CDS	+	1887.5	AT3G02470	Col0_ABA	GMUCT	CDS
3	868015	D	CDS	-	102.5	AT3G03600	Col0_ABA	GMUCT	CDS
